GFN,FWE,FIA,FWI,USAGE,LANGUAGES
Asap:italic:700,5,3,3,header,latin+vietnamese+latin-ext
Asap:normal:400,3,1,3,header,latin+vietnamese+latin-ext
Asap:normal:500,3,1,3,?,latin+vietnamese+latin-ext
Asap:normal:600,4,1,3,?,latin+vietnamese+latin-ext
Asap:normal:700,5,1,3,header,latin+vietnamese+latin-ext
Asar:normal:400,3,1,4,body,latin+latin-ext+devanagari
Asset:normal:400,5,1,9,header,latin
Assistant:normal:200,1,1,3,body,latin+hebrew
Assistant:normal:300,2,1,3,body,latin+hebrew
Assistant:normal:400,3,1,3,body,latin+hebrew
Assistant:normal:600,4,1,3,body,latin+hebrew
Assistant:normal:700,4,1,3,body,latin+hebrew
Assistant:normal:800,5,1,4,body,latin+hebrew
Astloch:normal:400,1,1,2,header,latin
Astloch:normal:700,4,1,2,header,latin
Asul:normal:400,3,1,4,body,latin
Asul:normal:700,4,1,4,header,latin
Athiti:normal:200,1,1,3,?,latin+thai+vietnamese+latin-ext
Athiti:normal:300,2,1,3,?,latin+thai+vietnamese+latin-ext
Athiti:normal:400,2,1,3,?,latin+thai+vietnamese+latin-ext
Athiti:normal:500,3,1,3,?,latin+thai+vietnamese+latin-ext
Athiti:normal:600,4,1,3,?,latin+thai+vietnamese+latin-ext
Athiti:normal:700,5,1,3,?,latin+thai+vietnamese+latin-ext
Atma:normal:300,2,1,2,?,latin+bengali+latin-ext
Atma:normal:400,3,1,2,?,latin+bengali+latin-ext
Atma:normal:500,3,1,2,?,latin+bengali+latin-ext
Atma:normal:600,5,1,2,?,latin+bengali+latin-ext
Atma:normal:700,5,1,3,?,latin+bengali+latin-ext
Atomic Age:normal:400,3,1,4,body,latin
Aubrey:normal:400,3,1,3,body,latin
Audiowide:normal:400,4,1,4,header,latin+latin-ext
Autour One:normal:400,3,1,4,body,latin+latin-ext
Average Sans:normal:400,3,1,4,body,latin+latin-ext
Average:normal:400,3,1,4,header,latin+latin-ext
Averia Gruesa Libre:normal:400,3,1,4,header,latin+latin-ext
Averia Libre:italic:300,3,4,4,header,latin
Averia Libre:italic:400,3,4,4,header,latin
Averia Libre:italic:700,4,4,3,header,latin
Averia Libre:normal:300,3,1,3,header,latin
Averia Libre:normal:400,3,1,4,header,latin
Averia Libre:normal:700,4,1,4,header,latin
Averia Sans Libre:italic:300,3,4,3,header,latin
Averia Sans Libre:italic:400,3,4,3,header,latin
Averia Sans Libre:italic:700,4,4,3,header,latin
Averia Sans Libre:normal:300,3,1,3,body,latin
Averia Sans Libre:normal:400,3,1,3,header,latin
Averia Sans Libre:normal:700,4,1,4,header,latin
Averia Serif Libre:italic:300,3,5,4,header,latin
Averia Serif Libre:italic:400,3,4,4,header,latin
Averia Serif Libre:italic:700,3,4,4,header,latin
Averia Serif Libre:normal:300,3,1,4,header,latin
Averia Serif Libre:normal:400,3,1,4,header,latin
Averia Serif Libre:normal:700,4,1,4,header,latin
Bad Script:normal:400,2,5,3,header,latin+cyrillic
Bahiana:normal:400,4,1,1,?,latin+latin-ext
Baloo Bhai:normal:400,5,1,4,?,latin+gujarati+vietnamese+latin-ext
Baloo Bhaijaan:normal:400,5,1,4,?,latin+vietnamese+latin-ext+arabic
Baloo Bhaina:normal:400,5,1,4,?,latin+vietnamese+latin-ext+oriya
Baloo Chettan:normal:400,5,1,4,?,latin+vietnamese+latin-ext+malayalam
Baloo Da:normal:400,5,1,4,?,latin+vietnamese+bengali+latin-ext
Baloo Paaji:normal:400,5,1,4,?,latin+vietnamese+latin-ext+gurmukhi
Baloo Tamma:normal:400,5,1,4,?,latin+kannada+vietnamese+latin-ext
Baloo Tammudu:normal:400,5,1,4,?,latin+vietnamese+latin-ext+telugu
Baloo Thambi:normal:400,5,1,4,?,latin+vietnamese+latin-ext+tamil
Baloo:normal:400,5,1,4,?,latin+vietnamese+latin-ext+devanagari
Balthazar:normal:400,3,1,4,header,latin
Bangers:normal:400,7,5,1,header,latin+vietnamese+latin-ext
Barlow Condensed:italic:100,2,4,2,?,latin+latin-ext
Barlow Condensed:italic:200,2,3,2,?,latin+latin-ext
Barlow Condensed:italic:300,3,4,2,?,latin+latin-ext
Barlow Condensed:italic:400,3,4,2,?,latin+latin-ext
Barlow Condensed:italic:500,4,4,2,?,latin+latin-ext
Barlow Condensed:italic:600,4,4,2,?,latin+latin-ext
Barlow Condensed:italic:700,5,4,2,?,latin+latin-ext
Barlow Condensed:italic:800,6,4,2,?,latin+latin-ext
Barlow Condensed:italic:900,6,4,2,?,latin+latin-ext
Barlow Condensed:normal:100,2,1,2,?,latin+latin-ext
Barlow Condensed:normal:200,2,1,2,?,latin+latin-ext
Barlow Condensed:normal:300,3,1,2,?,latin+latin-ext
Barlow Condensed:normal:400,3,1,2,?,latin+latin-ext
Barlow Condensed:normal:500,4,1,2,?,latin+latin-ext
Barlow Condensed:normal:600,4,1,2,?,latin+latin-ext
Barlow Condensed:normal:700,5,1,2,?,latin+latin-ext
Barlow Condensed:normal:800,6,1,3,?,latin+latin-ext
Barlow Condensed:normal:900,6,1,3,?,latin+latin-ext
Barlow Semi Condensed:italic:100,1,4,3,?,latin+latin-ext
Barlow Semi Condensed:italic:200,2,3,3,?,latin+latin-ext
Barlow Semi Condensed:italic:300,2,3,3,?,latin+latin-ext
Barlow Semi Condensed:italic:400,3,3,3,?,latin+latin-ext
Barlow Semi Condensed:italic:500,4,4,3,?,latin+latin-ext
Barlow Semi Condensed:italic:600,4,4,3,?,latin+latin-ext
Barlow Semi Condensed:italic:700,5,3,3,?,latin+latin-ext
Barlow Semi Condensed:italic:800,5,4,3,?,latin+latin-ext
Barlow Semi Condensed:italic:900,6,4,3,?,latin+latin-ext
Barlow Semi Condensed:normal:100,1,1,3,?,latin+latin-ext
Barlow Semi Condensed:normal:200,2,1,3,?,latin+latin-ext
Barlow Semi Condensed:normal:300,2,1,3,?,latin+latin-ext
Barlow Semi Condensed:normal:400,3,1,3,?,latin+latin-ext
Barlow Semi Condensed:normal:500,4,1,3,?,latin+latin-ext
Barlow Semi Condensed:normal:600,4,1,3,?,latin+latin-ext
Barlow Semi Condensed:normal:700,5,1,3,?,latin+latin-ext
Barlow Semi Condensed:normal:800,5,1,3,?,latin+latin-ext
Barlow Semi Condensed:normal:900,6,1,3,?,latin+latin-ext
Barlow:italic:100,1,3,3,?,latin+latin-ext
Barlow:italic:200,2,4,3,?,latin+latin-ext
Barlow:italic:300,2,4,3,?,latin+latin-ext
Barlow:italic:400,3,3,3,?,latin+latin-ext
Barlow:italic:500,4,4,3,?,latin+latin-ext
Barlow:italic:600,4,4,3,?,latin+latin-ext
Barlow:italic:700,5,4,3,?,latin+latin-ext
Barlow:italic:800,5,3,3,?,latin+latin-ext
Barlow:italic:900,6,4,3,?,latin+latin-ext
Barlow:normal:100,1,1,3,?,latin+latin-ext
Barlow:normal:200,2,1,3,?,latin+latin-ext
Barlow:normal:300,2,1,3,?,latin+latin-ext
Barlow:normal:400,3,1,3,?,latin+latin-ext
Barlow:normal:500,4,1,3,?,latin+latin-ext
Barlow:normal:600,4,1,3,?,latin+latin-ext
Barlow:normal:700,5,1,3,?,latin+latin-ext
Barlow:normal:800,5,1,3,?,latin+latin-ext
Barlow:normal:900,6,1,3,?,latin+latin-ext
Barrio:normal:400,5,1,2,?,latin+latin-ext
Basic:normal:400,4,1,3,header,latin+latin-ext
Battambang:normal:400,2,1,1,?,khmer
Battambang:normal:700,3,1,1,?,khmer
Baumans:normal:400,4,1,3,body,latin
Bayon:normal:400,4,1,1,header,khmer
Belgrano:normal:400,3,1,4,header,latin
Bellefair:normal:400,2,1,4,body,latin+hebrew+latin-ext
Belleza:normal:400,3,1,4,body,latin+latin-ext
BenchNine:normal:300,3,1,2,header,latin+latin-ext
BenchNine:normal:400,4,1,2,header,latin+latin-ext
BenchNine:normal:700,4,1,2,header,latin+latin-ext
Bentham:normal:400,2,1,5,body,latin
Berkshire Swash:normal:400,3,1,3,body,latin+latin-ext
Bevan:normal:400,6,1,5,header,latin+vietnamese+latin-ext
Bigelow Rules:normal:400,2,1,1,header,latin+latin-ext
Bigshot One:normal:400,4,1,4,header,latin
Bilbo Swash Caps:normal:400,2,6,3,header,latin+latin-ext
Bilbo:normal:400,2,7,3,header,latin+latin-ext
Biryani:normal:200,2,1,3,body,latin+latin-ext+devanagari
Biryani:normal:300,2,1,3,body,latin+latin-ext+devanagari
Biryani:normal:400,3,1,3,body,latin+latin-ext+devanagari
Biryani:normal:600,3,1,4,body,latin+latin-ext+devanagari
Biryani:normal:700,4,1,4,body,latin+latin-ext+devanagari
Biryani:normal:800,4,1,4,body,latin+latin-ext+devanagari
Biryani:normal:900,5,1,4,body,latin+latin-ext+devanagari
Bitter:italic:400,3,4,3,header,latin+latin-ext
